threshold,n_cases,dice_mean,dice_median,voxel_precision_mean,voxel_recall_mean,lesion_f1_mean,lesion_f1_median,lesion_precision_mean,lesion_recall_mean,lesion_f1_pooled,lesion_precision_pooled,lesion_recall_pooled,dice_lesion_f1_hmean,pred_lesion_count_sum,gt_lesion_count_sum,detected_gt_lesions_sum,tp_pred_lesions_sum,fp_lesions_sum,fn_lesions_sum,abs_lesion_count_diff_mean,pred_vol_ml_mean,gt_vol_ml_mean,abs_volume_diff_ml_mean
0.45,1450,0.6564160988453943,0.7683377537595029,0.7330954702791879,0.6759066379352322,0.6739306243342138,0.6666666666666666,0.7748236342201861,0.7058971984510073,0.609968487140761,0.6971775257188078,0.5421514594815269,0.6650580688628203,3791,4899,2656,2643,1148,2243,1.8758620689655172,27.69123032328256,28.019854800910313,5.196067144928683
0.46,1450,0.656189351358792,0.7687519734363946,0.7343001259804196,0.6744924258281004,0.6723231775908436,0.6666666666666666,0.774024425765805,0.7039737407042254,0.6083756790060318,0.6960550701615038,0.5403143498673199,0.6641582976347565,3777,4899,2647,2629,1148,2252,1.856551724137931,27.601008769606533,28.019854800910313,5.186427806650639
0.47,1450,0.6560025534531256,0.7695856225334674,0.7355476952428974,0.6731083961635754,0.6720658237149533,0.6666666666666666,0.7747725626863559,0.7026435741548469,0.6079817292570554,0.6980881571959638,0.5384772402531128,0.663937044244207,3766,4899,2638,2629,1137,2261,1.8627586206896551,27.511996355972087,28.019854800910313,5.178019679163882
0.48,1450,0.6558422408611938,0.7693097610059864,0.7368397655317426,0.6718031934828296,0.6722379189626734,0.6666666666666666,0.7759646751715717,0.7019746932273453,0.6076915372171249,0.6993881351423251,0.5372525005103083,0.6639388743264052,3759,4899,2632,2629,1130,2267,1.8593103448275863,27.423311768606876,28.019854800910313,5.170743521548619
0.49,1450,0.6555776164057561,0.7685745229293767,0.7380682987842637,0.6703813449994783,0.6725428419596042,0.6666666666666666,0.7767455379869174,0.7011653569912366,0.6073474074730715,0.7009071504802561,0.5358236374770361,0.6639518734698079,3748,4899,2625,2627,1121,2274,1.8475862068965516,27.335474156767,28.019854800910313,5.164703525216701
0.5,1450,0.655351295068484,0.7699581676530205,0.7398075829692728,0.6689830497797475,0.6730279464700263,0.6666666666666666,0.7784112994285408,0.7003822684537893,0.6076248181885265,0.7041117979037893,0.534394774443764,0.6640720097757222,3721,4899,2618,2620,1101,2281,1.8413793103448275,27.24787491911445,28.019854800910313,5.1602033848131015
0.51,1450,0.6550863520032226,0.769400101871627,0.7411274295515506,0.6675500084572342,0.6728224614924116,0.6666666666666666,0.7793697509387164,0.6994683892510686,0.6071062561513709,0.7055645596974608,0.5327617881200245,0.6638359612730167,3702,4899,2610,2612,1090,2289,1.8420689655172413,27.160108040168364,28.019854800910313,5.158043924395295
0.52,1450,0.6548485889047994,0.7686679486545753,0.742406582463359,0.6661561012275073,0.6730603907018025,0.6666666666666666,0.7815470410815238,0.6988916747993057,0.6073975077914926,0.7077922077922078,0.5319452949581547,0.663829605594448,3696,4899,2606,2616,1080,2293,1.8517241379310345,27.07253675886615,28.019854800910313,5.156844982579183
0.53,1450,0.65460899199364,0.7679475843992349,0.7436997837118167,0.6647577233457722,0.6748224464566522,0.6666666666666666,0.784420654058585,0.6982532648376197,0.6081630253452862,0.7120675565241079,0.5307205552153501,0.664562050623099,3671,4899,2600,2614,1057,2299,1.8386206896551724,26.985520679741768,28.019854800910313,5.156391221650052
0.54,1450,0.6542791945184827,0.7678989240650378,0.7449209150366221,0.6632443722313136,0.6755305173175123,0.6666666666666666,0.788187460049529,0.6970521154123325,0.6086645322323665,0.7160426345996174,0.5292916921820779,0.6647350501492891,3659,4899,2593,2620,1039,2306,1.8386206896551724,26.897549945611967,28.019854800910313,5.158631248631835
0.55,1450,0.653911321478123,0.7677486799837536,0.7459680126672976,0.6617280928220716,0.6746996347428619,0.6666666666666666,0.7897744994469131,0.6953448590886484,0.6076796422017049,0.7170638181320186,0.5272504592774035,0.6641428443589155,3651,4899,2583,2618,1033,2316,1.8427586206896551,26.809827370010822,28.019854800910313,5.1623267505474395
